review,sentiment
light indicater and l1 l2 not showing product,neutral
size too big so much bigger than expected it can occupy  2 man sitting place,neutral
less than one month moter automatically burn no replacement gurantee,negative
leaves a fishy smell sometimes which is unbearable cooling is average,neutral
nice product but weighty is very heavy no wheels provided so that is is very difficult to move from one place to another,neutral
built quality is not up to the mark overall avearge,neutral
room is not cooling cooler is throughing only normal air,negative
okay okay product,neutral
nice product,positive
nice,positive
nice product,positive
very good quality of this and cooling system is also good,positive
i honestly liked the product best desert cooler at lowest price i got the deal of 6889 nice brand good built quality with precision to each good switches and knobs to controltakes space as its huge very silent not high but good speed fan to cool upto upto 12 feet no ice tray but its not a matter go for it,positive
very nice,positive
worthy,positive
superb,positive
good product,positive
great deal 65 l quite big tank sufficient cooling for one medium size room 3 modes works well best in this range,positive
its too good boss i am very happyi was purchased in 6434rs in 31 may i recomded this product in air cooler but its too large so pls saw the image than purchased,positive
good product,positive
nice,positive
very nice,positive
very good cooler feeling like ac in summer,positive
very huge in size cooling no good feels air just like normal fan,negative
after discount rs 7200 price is ok quality is ok delivery as on time ok motor speed 1200 rpm ok pump ok colour is ok look is also ok water storage is appx 65 ltd more than 3 large bucket is okstill giving 3 star because it is a large in size and in width not fit to my window not expectedwill give next rating after couple of month usagethanx flipkart,neutral
nice cooler,positive
very good,positive
best in my room,positive
cooler is good and nice cooling nice service,positive
super,positive
after use of one week in extreme conditions i feel this cooler works very fine strongly recommend to buy this product,positive
simple super,positive
minimum price maximum performance,positive
nice,positive
its great works like an ac,positive
this is best air cooler within 8k price tag,positive
amazing n big air cooler i love it,positive
flipkart delivery very nice and product in this time good,positive
very nice cooler very smooth and fast no sound cooling fast paisa washul,positive
very niceon time delivery,positive
good,positive
very very nice product,positive
more than 10 days have gone but still cooler is giving stinking air,negative
this cooler is wonderful i would say best desert cooler but do not buy it from flipkart at all they will pack it in worst way possible and their delivery guys will keep it in tampo with lots of load on iti received it as broken productand i know how difficult it was to get replacement in time their customer care representative gets payed only to apologize supervisormanagers even case escalate managers will have only sorry to share with youbuy this cooler but not from flipkart,negative
too much smell disappointed on day 1,negative
this air cooler is so badest product in the world dont buy this cooler,negative
water is not pouring from holes crompton services are not good,negative
its not working minimum 3 months money n time west for this very bad company,negative
product is good but bad service,neutral
never purchase cooler from flipkartmy 10500 wasted pump not working honey comb drynot giving cool air the up and down slider is also not working when you manually do it up it will go down itself after few minutes giving only air in downwardi am a regular flipkart customer and was trusting flipkart but after this cooler purchasing experience i hate flipkart from now and ill never do any order at flipkartive requested for return that was 7 days replacement policy ,negative
not good,negative
not good,negative
this review of two contion must read before buy any electronic products its my humble request to all I have purchased two crompton cooler from flipkart 1 75 litr date 10 april 2022 its work properly and i m very happy of this cooler after this i m purchase again a cooler crompton 88 ltr order date 18july 2022 delivery date 28 july but delivered 30 july 2022 installation 1 aug 2022 that day i found leakage problem i m registered complain for replacement on 1 aug 2022,negative
no dust filter no remote control plastic bodyneed to check performance ill review in next one month usage,negative
not good,negative
after 1 year fan not working very very disappointed,negative
not working properly after 1 month,negative
not good cooling,negative
crompton ozone desert air cooler horizontal flap no working properly 1 serves the purpose cooling is better than expected2 it smells worse i cant enter into my room if i switch on for one hour cant explain the situation even it cools the room if you cant stay then no use at all3 no water outlet if you fill 75 ltrs of effort and when bad smell comes with water turned greenish no way you can release water,negative
product wise its fine but this time delivery service was pathetic,negative
it was really bad experiences with flipkart this time the delivery person was want deliver the item on road rather than mentioned address,negative
not good,negative
very worst product for this price no air push and whole product has lot of scratches along with motor covered with tape which covers maker details main issue is no cooling and defected product no cooling less air throw and lot of defected plastic body that needs a refund for this order very very unhappy with the product as it has lot of issues,negative
not happy for this product air throw not good,negative
very very bad product guys please dont buy this product overall bad experience on this product,negative
item is good but delivery service is worst,negative
feedback after using cooler for one week positive points good cooling effect big water tank can be run 15 to 18 hours without tension no heating issue improvement required 1 power cable is too short difficult to connect 2 wheels are not so strong comparing wit 75 ltr storage capacity 3 cleaning is bit tough task water outflow provision given at the bottom side,neutral
cooling is not as expected 88 ltr is way above my expectations product quality 3.5 out of 5 rating 3.5 out of 5 cooling 2 out of 5 delivered quickly within two days thank u flipkart,neutral
dont go on flipkart review i purchase this cooler but totally waste of money,negative
not good cooling as said by the company,negative
both motor and pump stopped working after one season only air throw is also lame doesnt work in june summer waste of money bought it for 8577 still waste of money wont buy any crompton product again,negative
air throwing distance is very low,negative
very nice product quality no doubt upto mark as crompton itself known for its quality products,positive
worst product in this price rangereturn option not available,negative
received broken cooler,negative
very humid bad purchase poor quality total money waste,negative
little bit noisy,negative
product received good but its air flow is very less for my 8x10 room i am not feeling more cool,neutral
packaging was so good air pressure is also good overall quality is good but water consumption is lot tank empty in 89 hours,neutral
no cooling,negative
wast of money air through is below 5 feet dont buy,negative
cooler cooling is not good,negative
cooler is good the only issue is the swigs that move up and down cant stay at one position,neutral
cooler is good but seller delivered damaged product it is leaking from inlet,neutral
water circulation is not there on one side of cooler,neutral
its ok,neutral
just ok,neutral
product is good noisy but cools the room low fan speed itself is very high reduced 1 rating because of its noisy operation,neutral
quite good item but is smell bad first,neutral
auto water fill up not there too much sound difficult to clean cross ventiliter required for cooling,negative
too big and noisy,negative
everything is ok but cooling very low,neutral
type of ok ok,neutral
a little noisy and moist as all desert cooler rest is best,neutral
product is okay cleaning its honeycomb is very difficult,neutral
the product i got is opened delivery service is not good want to return this product,negative
finishing is not good lot of scratches are there all other things are ok,neutral
still not attended by crompton for demo n installation,neutral
average score,neutral
sound noise is too much and rest of the things are good,neutral
average product cleanliness is a big trouble air through is not upto the mark louvers are not properly set they slide downward automatically,neutral
room is heated up even after using the cooler,negative
water pump and swing is not working properly,negative
average,neutral
good product but not like symphony,neutral
functioning property but some bad smell is spreading out when running,neutral
cooler is very compact and movable look wise great performance was good but not excellent as in extreme heat it doesnt cool as otherwise also difficult to clean the tank leading to stink,neutral
the product is great for a big room but received little damaged,neutral
ok not bad,neutral
this air cooler does not proper cooling than other metal body cooler,neutral
ok,neutral
it can not throw air upto 20 ft and crompton has mentioned it can throw air upto 45 ft so dont fall for that,neutral
normal fan cooler,neutral
just ok,neutral
simple it cant compete a desert cooler or ac if you actually cant manage desert cooler fixing on your window i mean if you are on first floor where there is no way to hang a desert cooler on your window then only go for it you cant sleep first 15 days with it due to bad smell and after 15 days you have to compromise with it good for places which has no option for ac or fix desert coolerso i have simply waisted money on it due to few chamcha reviews any how I have purchased ,negative
built in quality is good but sound is high,neutral
nice big size product and performance but there not too easy to change water or cleaning,neutral
ok,neutral
not upto the mark,neutral
ok,neutral
not worth barely works as cooler doesnt cool just somehow better than fan,neutral
nice product,positive
very good,positive
i am writing this review after 2 months of usage pros i am using this cooler in hyderabad around 11 x 14 sq feet room it perfectly really suits for this whether condition air flow is excellent it has an ice chamber easily movable using the 4 wheels providedlight weight vertical swing if i fill complete 75 liters of tank i get it for almost 16 hours i feel better performance when i open windows and use a tray of ice in the cooleryou can easily remove old water by pl,positive
excellent product,positive
good quality poisa osul,positive
nice product,positive
too much noise other features are good,neutral
build is strong dimensions is good fan throw is very good goes to 20ft very easilywheels are strong can easily move even when cooler is full very good product at this price range,positive
amazing product,positive
good quality at this price cross section area could be bigger and the quality of plastic must be improved a bit noisy but over all its great,positive
good one,positive
excellent great product sometime use it in place of ac delivered on time in good condition thnx to crompton n flpcart hope such service in future also one can buy to get full utility,positive
good but after 4 months use the hinges which direct air are falling down and not good air throw more sound,neutral
good product,positive
nice,positive
value for money,positive
it is a very good product you must buy it it has three side honeycomb pad and dis cooler gave a very nice air flow its exact height is 10 cm and you dont be hesitate to buy this product it has good swing and nice water tank of capacity 88 litres and i got a good delivery by flipkart and crompton is a good brand,positive
superb cooling,positive
superb,positive
good,positive
design very nice and cooling super value of money deliver in very good packing full satisfaction,positive
i bought crompton ozone 75 desert air cooler in the month of may 2018 summer at its peak i live on top floor so my house gets mare warmer in comparison to other flats placed the air cooler in hall near balcony the device is elegantly build and performs very well crompton has introduced a very good product pros 1 sleek design 2 water tank excellent 3 wheel are very good in quality no problem in mobility even when the tank is full 4 child locks in wheel 5 hone,positive
its a very good cooler quality water capacity is very good but it will be finished in few hours only it can make a big room cool only drawback is short power cord and its a bit noisy even in low speed over all its a very good product,neutral
its a decent purchase cooling is good price i do think is on higher side however you will get a quality product if you go for it got in march 2021 and its working fine,positive
fastest delivery from flipkart awesome cooling experience quiet good happy with the product from compton,positive
flipkart delivered crompton desert air cooler 88 litres well before the schedule date before buying i compared with bajaj desert coolers here crompton seems to be much better based on the fan speed and quality water tank capacity of 88 litres is much needed crompton gives honey comb cooling pads for better cooling compared to wood wool it cools the room efficiently which makes us much comfortable in summer of chennai city,positive
great packaging by seller as this was the most important point while transportation from jaipur to chennai secondly product is quite huge and air throw is very much nearly 13ft at 2 speed and will give good breeze cooling is satisfying due to honeycomb cooling media no need of filling water daily price is high but product is quite satisfactory compared to others only drawback is the motor power is 190 w rather than 220w which should be coorected on specs information on flipkart good j,positive
good product,positive
best cooling in room,positive
good,positive
this cooler is very nice very nice loved it,positive
great cooling for 12x12 ft size room plastic body should have been more better quality water inlet is little loose,positive
i am fully satisfied from this cooler,positive
best cooler cromptom really build a good cooler cooler cools my 15x20 room easily i was planning to buy an ac but this cooler is amazing it keeps my room fresh and cool room all day,positive
good product but electric cord is short,neutral
good,positive
giving review after 2 years this product is amazing ,positive
quality is not as per the expectations better quality cooler can be bought in same price range,neutral
well it is a nice product cooling is good water tank doesnt last for more than 56hrs sound is quiet low comparing with desert collers it cost me 10200,positive
good cooler,positive
bed product,negative
dont like,negative
thread quality not good,negative
bad bad quality,negative
bad quality,negative
tshirt is of long size even I have ordered small size ,negative
product quality is not good,negative
material is not good,negative
very bad quality dont waste your money on this t shirt,negative
worst quality,negative
not a worthy material,negative
bad quantity,negative
very poor quality product,negative
product not good,negative
size not valid cloth not valid waste of money,negative
utterly useless clothes,negative
verry bad product,negative
this product is not best quality,negative
quality is too bed,negative
after wash the colour is faded waste of money,negative
big size,negative
quality very low,negative
quality very bad,negative
bad product,negative
this product is not good,negative
material quality is too low not recommended,negative
bad,negative
this tshirt is so bad,negative
bad quality,negative
bad product and very bad quality febric,negative
very bad quality,negative
very bed t shirt,negative
very low quality product very bad product,negative
bad color not as shown,negative
not satisfied,negative
not a good item please dont buy it,negative
worst material quantity dull print i expect shining prints totaly 0.5 out of 5 stars only,negative
quality is very bed,negative
not good,negative
size is not proper,negative
same product but quality is low,negative
not satisfied,negative
fabric quality very bad,negative
very bad quality waste of money,negative
looks good but quality of the cloth is really very bad,negative
bad quality,negative
not good,negative
bad shirt,negative
very bad,negative
low quality and more damage dont buy this product,negative
poor quality,negative
product very low quality,negative
very very bad oooooii,negative
not nice please dont order,negative
fragnance is so bad i cant wear a single time after i received this product,negative
quality not good,negative
low quality wasted of money,negative
color variation in tshirt i received and design print quality is worst its low quality paint print,negative
not good,negative
very bad products not like,negative
ruf quality,negative
no clean tishirt,negative
poor quality,negative
after woshing the print came out shirt color is damaged,negative
smell bad,negative
bad quality,negative
worst quality,negative
bed quality l product,negative
the worst quality,negative
worst,negative
very poor quality and this item is not same as it looks like in mobile I feel cheated,negative
very light colour and poor quality of the cloth,negative
quality is very bad,negative
waste product dont buy this even one star is not worth for this product,negative
verry bad,negative
very poor quality black print washed away in first wash itself,negative
cheep quantity,negative
very poor quality,negative
worst quality color shades very fast i dont recommend dont waste your money,negative
coviility is not good,negative
bad quality to product,negative
very very bad product is not good,negative
not much thick like photo disappointed,negative
product is very poor and uncomfortable after wearing,negative
not like the quality is very poor,negative
very thick cloth bad quality,negative
very very bad product,negative
quality is very low and having bad smell,negative
average product size if not perfect as mentioned,negative
very low quality,negative
it is a very bad quality,negative
your low quality product and colour,negative
bad quality,negative
quality not so good still as its low cost may be its ok order size greater then yours,negative
bad experience,negative
not good product,negative
not good,negative
very poor quality,negative
inferior quality,negative
not bad,neutral
normal okay,neutral
nice but not as shown,neutral
looking nice but not good quality clothes,neutral
not bad,neutral
shirt is ok,neutral
chota size but ok,neutral
not good not bad,neutral
just ok,neutral
average,neutral
its ok,neutral
average,neutral
color is ok but little bit lowm,neutral
ok,neutral
size not match with xl it is to much big with size,negative
its ok but not excellent,neutral
average,neutral
ok,neutral
normal,neutral
ok,neutral
ok nice,neutral
ness,neutral
ok,neutral
long t shirt,neutral
fabrick is not very thin  but cloth is ok,neutral
no bad,neutral
fabric is so thin,neutral
quality is ok but long sized ,neutral
average,neutral
not bad,neutral
not bad,neutral
just okay,neutral
avarege quality,neutral
out fit is ok,neutral
quality is very cheap,negative
ok,neutral
not bad,neutral
average quality ok product,neutral
average,neutral
its okay,neutral
okay,neutral
too thin material but seems good to wear,neutral
its very big,neutral
ok product,neutral
not bad,neutral
product was okey,neutral
ok,neutral
the t shirt fits as expected and the material is decent its not the best,neutral
very,neutral
medium qualty product,neutral
very cheap product,neutral
the cloth is very transparent feels uncomfortable to wear,negative
nice product but size is not right size,neutral
not quality as per expectation you can wear it for 5 to 6 times,neutral
baad quality,negative
ok ok quality of this shirt,neutral
normal product,neutral
average,neutral
the t shirt fits as expected and the material is decent its not the softest  but it does the job overall a standard t shirt that serves its purpose,neutral
my tshirt,neutral
"the design of the t shirt is simple and the color matches the pictures the fabric is fine, though it could be a bit thicker Its an okay buy for casual wear.",neutral
average,neutral
this t shirt is pretty average Its comfortable enough but theres nothing particularly special about it It works for everyday use,neutral
supar,positive
not bad,neutral
i bought this t shirt for basic wear Its not too tight or too loose and the color hasnt faded yet after a few washes however the quality of the fabric isnt anything extraordinary,neutral
mind blowing t shirt it fits perfectly,positive
its a basic tee that works fine for what it is,neutral
"the t shirt arrived on time and in good condition its not bad, but it doesnt stand out either",neutral
not expected quality but okay,neutral
cheap quality,neutral
its ok,neutral
its an average t shirt nothing too impressive but it works for casual wear,neutral
this t shirt is okay,neutral
colour is poor but not bad,neutral
very thin cloth,neutral
the material is decent and the design is as expected,neutral
average,neutral
size is not same i am feeting its very big,neutral
try for 2 times wearing not recommended for everyday use,neutral
good for everyday wear but not particularly impressive,neutral
not nyc but okay ,neutral
the quality is average not too thick,neutral
just ok nothing else,neutral
no complaints but no wow factor either,neutral
ok,neutral
t shirt is okay but need to improve the quality of material,neutral
not bad,neutral
cloth is very light,neutral
averaged quality product,neutral
good for everyday wear but not particularly impressive,neutral
ok,neutral
design is good not a great quality,neutral
nice fabric 100 percent cotton but it doesnt look like the picture,neutral
average,neutral
mid range quality not much,neutral
i absolutely love this t shirt its so soft and comfortable i wear it all the time the material is amazing and the design is exactly as shown on the website,positive
i was pleasantly surprised by the quality of this t shirt the fabric is thick and breathable and the colors are vibrant the fit is perfect too,positive
nice product,positive
very good product,positive
this t shirt exceeded my expectations the print quality is fantastic and the style is trendy i get compliments every time i wear it,positive
thank you flipkart so sweet tshirt,positive
this t shirt exceeded my expectations,positive
i liked this product very much i dont have time to order with it i liked it very much and you will also like it,positive
good product,positive
good quality,positive
very good,positive
i bought this t shirt in multiple colors because i loved the first one so much the material is lightweight and easy to care for,positive
best deal,positive
very nice,positive
very good,positive
i highly recommend this t shirt its one of the best ive ever owned the design is unique and the quality is top notch,positive
nice product,positive
good materials used,positive
fantastic and comfortable to wear,positive
ek number t shirt 5 out of 5 stars,positive
the quality of this t shirt is impressive the stitching is solid and the fabric feels luxurious,positive
nice,positive
the quality of this t shirt is impressive ,positive
nice,positive
best,positive
the stitching is solid and the fabric feels luxurious,positive
good,positive
awesome product,positive
super looking and full money vasul,positive
nice,positive
very nice,positive
excellent t shirt,positive
very nice product,positive
i was skeptical about buying a t shirt online but this one blew me away the fit is perfect and the material is divine,positive
nice,positive
fit is perfect and the material is also good ,positive
good quality and comfortable tshirt,positive
very nice,positive
nice,positive
good product thanks,positive
good product,positive
this t shirt is perfect for everyday wear its comfortable stylish and affordable,positive
very nice,positive
good product nice,positive
i love how this t shirt fits its true to size and the design is amazing the material is soft and cozy,positive
amazing,positive
very nice,positive
very nice product super nice,positive
nice product,positive
 design is amazing the material is soft and cozy,positive
good,positive
u can buy this t shirt without any doubt,positive
nice,positive
good,positive
i bought this t shirt for my husband and he loves it the quality is great and the style is perfect for him,positive
 the quality is great and the style is perfect,positive
looking very fantastic,positive
orange colour t shirt looking very nice,positive
good,positive
very good product,positive
amazing product and very good quality,positive
this t shirt is a game changer its so soft and comfortable i never want to take it off,positive
super,positive
 its so soft and comfortable simply love it,positive
good service flipkart agent product is good ,positive
i have never been happier with a t shirt purchase the quality is exceptional and the design is stunning,positive
very good,positive
nice,positive
i am happy with this t shirt purchase,positive
very good quality product,positive
good,positive
this t shirt is a must have its comfortable affordable and looks amazing,positive
excellent quality t shirt,positive
iam happy very good,positive
good and daily use tshirt,positive
awesome tshirt,positive
good,positive
if there were packet and colour in round neck it would be superb for value for money but still quality is best for this price amazing,positive
good,positive
awesome t shirt,positive
good quality,positive
this t shirt is my go to for casual outings its comfortable and stylish and pairs well with anything,positive
thanks for secured delivered nice products,positive
nice good quality,positive
very nice,positive
 its comfortable and stylish,positive
nice,positive
supar,positive
nice you can buy this t shirt,positive
good,positive
dont send this type of shirt pls this is not good very poor quality,negative
i love the unique design of this t shirt its definitely a conversation starter the quality is also impressive,positive
very nice product,positive
good quality,positive
i love the unique design of this t shirt and quality is also impressive,positive
nice design,positive
this product is very good,positive
the material of this t shirt is amazing its breathable and moisture wicking perfect for working out or just lounging around,positive
the material of this t shirt is amazing,positive
quality of this t shirt is too poor over price dont buy,negative
quality so much bad dont like,negative
these cushions are not as plush as i expected theyre pretty thin and dont provide much comfort,negative
cushion cover is not good very thin clothe,negative
not good enough average quality,negative
very cheap quality product,negative
its not good poor quality product,negative
flattened within 3 months,negative
it is makwas barbaading of money,negative
these cushions are pretty thin and dont provide much comfort,negative
cushions are ok but they provided only 4 cushions feeling very bad,negative
very cheap product,negative
poor quality,negative
worst product,negative
size not as big as shown regular cushion size dont like,negative
worst product ever,negative
worst pillow ever bad quality and packing,negative
filling of microfiber was less than required but your picture of the same looked great also sticking was inferior with ends of stitching hanging,negative
uneven nylon fiber filler,negative
packing not good top and bottom cushion was damaged,negative
very bed quality,negative
bad quality,negative
very poor quality,negative
very cheap quality product and very light weight product,negative
very bad and worst flipkart customer support,negative
pathetic pillows,negative
worst quality by flipkart,negative
i ordered these cushions in grey but they look more like a weird beige color in person,negative
not good,negative
filling is insufficient and hence it lacks firmness i had bought similar ones at this same price point in feb 2022 which are still holding very well but am completely disappointed with this,negative
waste of money,negative
the cushions from la verne are extremely soft to the point of being non existent and uncomfortable i generally prefer a cushion with some mass to it but this doesnt add up wanted to return it but just kept it i wouldnt recommend it,negative
poor material inner fabric is coming off,negative
bad quality,negative
cushion cover was torn upon arrival,negative
wow cant say anything nice one,positive
doesnt give the desired fluffiness very softtend to get soft after sometime,negative
not great but can be used only for decorative purpose not for support,negative
very worst quality anybody dont purchase 4 cushions dose not have forms inside,negative
worst,negative
very very very poor quality flipkart has been providing such a poor quality for the last few times,negative
i thought these cushions would be firm but theyre actually too soft and lose their shape easily,negative
not good enough,negative
bad quality,negative
these cushions arent made well the seams are already coming undone after a few weeks,negative
not so good,negative
this is very bad product do not buy this,negative
the product quality is not good the fabric of this cushion is cheap quality dont buy,negative
theyre just too small for my furniture,negative
these cushions arent water resistant like the description said now theyre stained and ruined,negative
quality is poor please consider some other cushions than this,negative
cheap material deflates as soon as u use them doesnt inflate for a whole 56 minutes pathetic product seller,negative
so poor cheap quality cushions,negative
unfortunately poor quality air tightness gone within 1520 days in 1 cushion and there is no provision to complain also,negative
good but not well,neutral
okay not much strong,neutral
the quality of pillows not good,negative
i was expecting a softer material but these cushions feel rough and scratchy,negative
very bad quality,negative
not good quality,negative
cheap quality,negative
i wouldnt recommend these cushions to anyone theyre low quality and uncomfortable,negative
product is good but one cushion is of low quality,neutral
plz dont buy west of money and gives neck pain,negative
not as same as shown in picture so bad quality,negative
these cushions are not very good quality it ok,negative
waste material,negative
after 1 month of usage its not fluffy anymore,negative
ive had to fluff these cushions constantly since i got them they lose their shape fast,negative
poor quality waste of money,negative
these cushions are a disappointment the material pills easily and looks worn out fast,negative
all threads are coming out from the stitching highly disappointed,negative
good product but the stitches werent perfect,neutral
very poor quality,negative
amazing but not perfect,neutral
not a good product,negative
filling is insufficient and hence it lacks firmness i had bought similar ones at this same price point in feb 2022 which are still holding very well but am completely disappointed with this,negative
very poor quality,negative
not much good,negative
worst product,negative
I am extremely dissatisfied with the cushions quality theyre flimsy and dont provide support,negative
very bad worst,negative
the cushions design looks outdated and cheap not what i expected,negative
not in good quality and different from image of product,negative
very poor quality,negative
the cushion covers are impossible to remove and clean it's a nightmare,negative
not good,negative
very poor quality dont buy,negative
poor quality become softer with two weeks of use,negative
very cheap and bad cushion,negative
i regret buying these cushions they're too firm and uncomfortable to sit on,negative
very bad product pillow cover just like polithin bag dont by this product,negative
very cheap material,negative
product satisfactory packaging very bad delivery not satisfactory the product is good but problem with the delivery partner all the cushions are shrunk they did not properly pack they packed in a plastic bag which was not enough to protect them from the weighted other products,negative
below average product the cushions do not rise properly the edges remain hollow,negative
product was not up to the mark,negative
small in size but the cushions are okay,neutral
product is as good as expacted but i hd got open packed very bad packaging,neutral
i bought these cushions and theyre okay not the best quality,neutral
average quality,neutral
theyre okay not the best quality,neutral
ok,neutral
meet the expectations but they are not great,neutral
very soft and light,positive
these cushions are nice but not worth the price i paid,neutral
just ok,neutral
i like the design of these cushions but the color is a bit off,neutral
not bad,neutral
these cushions are comfortable enough for occasional use not for everyday use ,neutral
not impressive but not bad,neutral
the quality of these cushions is midrange not impressive but not bad,neutral
ok,neutral
avarage not much soft as expected,neutral
i was hoping for more support from these cushions but theyre okay,neutral
average quality,neutral
okay okay product,neutral
average product could be used for sofas,neutral
over all ok,neutral
these cushions arent the worst ive ever had but not the best either,neutral
just ok,neutral
very less fibre filled in it but they are okay to use ,neutral
oky type,neutral
decent product at 449 price range stitch was open in one cushion but you can buy at this price,neutral
decent but not as much good,neutral
the cushions are a bit thinner than i expected,neutral
above average,neutral
cloth polisternot bad but ok,neutral
less cusion fabric but its ok,neutral
these cushions are average in every way,neutral
the cushions are okay for everyday use but i wouldnt recommend for heavy use,neutral
these cushions are satisfactory but not impressive in any way,neutral
ok ok product could have been little more soft and better quality at this price,neutral
not up to the standard,neutral
these cushions are average in every way,neutral
not bad not good ,neutral
average quality,neutral
not as expected,negative
need filling in corners other thigs are okay ,neutral
i wasnt blown away by these cushions but theyre fine,neutral
average quality,neutral
the material is breathable which is nice but not exceptional,neutral
medium quality,neutral
the cushions look nice in my living room but dont add much comfort,neutral
not that good i think price is high and the quality is not that good you see threads coming out,neutral
average quality,neutral
i wouldnt pay full price for these cushions but theyre okay on sale,neutral
not bed,neutral
fabric is okay type,neutral
the quality is midrange but the price is a bit high,neutral
few cushions are not fully filled others are okay ,neutral
just okay,neutral
i would give these cushions three stars,neutral
not an option,neutral
the design is simple which i like but its not very durable,neutral
size of pillow is smaller than mentioned on the website,neutral
these cushions serve their purpose but dont exceed expectations,neutral
its okey as price is also less,neutral
microfiber filling is very less its flat cant use it as any type of pillow need more filling,neutral
the quality of these cushions are decent but not exceptional,neutral
i like the color but the design is unoriginal,neutral
they small but okay ,neutral
the cushions arrived promptly but the packaging was damaged although the cushions are safe from inside ,neutral
the quality has dropped than last year the cushions are weak in the name of adding softness they will be flat soon manufacturer should improve endurance if the batch circulating now,negative
not as expected disappointed with the product,negative
ok not so good,neutral
these cushions are average in terms of comfort and support,neutral
the cotton is not enough for 1 cushion so i made 4 cussion using the 5th cushions cotton,neutral
ok,neutral
fillers are less though its ok at this price,neutral
its a heated one bez its not actually cotton but gud size and quality,neutral
ok ok product the inner material is not good if youre in hot regions,neutral
the cushions are easy to clean but show stains easily,neutral
the design looks better online than in person but its okay ,neutral
just ok,neutral
the material is durable but lacks softness,neutral
less polycotton packed,neutral
just okk,neutral
i expected more cushioning but its adequate,neutral
stitches came out within few months of usage,negative
pathetic within 15 days of use the cushions became flat,negative
so so,neutral
avarage quality,neutral
its ok,neutral
same as picture but not great quality,neutral
soft and foamy quality product,neutral
quality can be improved but they are okay in this price range,neutral
same as shown,neutral
average,neutral
it is ok,neutral
the material is durable but lacks softness,neutral
very soft but lacks in the design ,neutral
the material is durable but lacks softness,neutral
i absolutely love these cushions theyre so comfortable and supportive,positive
nice,positive
good cushions ,positive
very nice,positive
these cushions exceeded my expectations the quality is top notch,positive
its very good and comfortable and so fufflyi loved it thnx flipkart,positive
nice products,positive
very nice quality i loved it,positive
good quality,positive
the quality is top notch,positive
the material is so soft and breathable i could sit on these cushions all day,positive
loved it its beautiful very pluffy,positive
wonderful product,positive
nice,positive
quality is good comes in vaccum compressed packaging one of the cons is cushion is not so fluffy as expectedbut a good option for this price,neutral
good product quantity,positive
i bought these cushions for my mom and she loves them theyre her new favorite,positive
